video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
69Rw1xK7jC0,Mobil vs Rock #9 - BeamNG Drive,https://www.youtube.com/watch?v=69Rw1xK7jC0,Tommy Handoko,2023-07-13T06:00:03-07:00,False,False,1197,1197,1187
Amldg257LKc,Police Car CHASE VS LONG BRİDGE / BeamNG Drive,https://www.youtube.com/watch?v=Amldg257LKc,O Game Channel,2021-09-14T15:00:02-07:00,False,False,1198,1198,1188
b9ZC5jEDl7s,Mobil vs Trembling Bridge #1 - BeamNG Drive,https://www.youtube.com/watch?v=b9ZC5jEDl7s,Tommy Handoko,2022-02-27T05:00:14-08:00,False,False,1199,1199,1189
Y-9N8rhvIxg,Mobil vs Rails #15 - BeamNG Drive,https://www.youtube.com/watch?v=Y-9N8rhvIxg,Tommy Handoko,2023-08-16T06:00:31-07:00,False,False,1200,1200,1190
LoCNRINACJ8,Mobil vs Chain #9 - BeamNG Drive,https://www.youtube.com/watch?v=LoCNRINACJ8,Tommy Handoko,2022-08-20T06:00:20-07:00,False,False,1201,1201,1191
3VynaM2zSDU,Mobil vs Potholes #4 - BeamNG Drive,https://www.youtube.com/watch?v=3VynaM2zSDU,Tommy Handoko,2021-12-04T05:00:01-08:00,False,False,1202,1202,1192
g45oFetXFQI,Mobil vs Giant Pit #16 - BeamNG Drive,https://www.youtube.com/watch?v=g45oFetXFQI,Tommy Handoko,2023-05-06T06:00:25-07:00,False,False,1203,1203,1193
dAChip0NSBM,Mobil vs Deep Water #14 - BeamNG Drive,https://www.youtube.com/watch?v=dAChip0NSBM,Tommy Handoko,2023-10-02T06:00:28-07:00,False,False,1204,1204,1194
dXsqPDr_6yY,"POLICE CARS OF COLORS ! BMW, DACIA, AUDI, FORD, VOLKSWAGEN COLORS POLICE CARS TRANSPORTING ! FS22",https://www.youtube.com/watch?v=dXsqPDr_6yY,bo GAME,2023-03-12T23:00:11-07:00,False,False,1205,1205,1195
w80MjpFKDnY,TRANSPORTING POLICE VOLKSWAGEN AMAROK & ISUZU WITH MACK TRUCKS! Farming Simulator 22,https://www.youtube.com/watch?v=w80MjpFKDnY,bo GAME,2023-06-05T23:00:30-07:00,False,False,1206,1206,1196
T73W8JsKiu4,"DACIA LOGAN, MERCEDES, RANGE ROVER, VOLKSWAGEN AMBULANCE WITH MAN TRUCKS! Farming Simulator 22",https://www.youtube.com/watch?v=T73W8JsKiu4,bo GAME,2023-08-01T23:00:10-07:00,False,False,1207,1207,1197
v4esMWbcHus,TRANSPORTING ALL AMBULANCE VEHICLES WITH MAN TRUCK to SLIDE ! Farming Simulator 22,https://www.youtube.com/watch?v=v4esMWbcHus,bo GAME,2023-07-29T23:00:30-07:00,False,False,1208,1208,1198
J3mRQnHuVOQ,"CARS OF COLORS ! POLICE CARS , AMBULANCE , FIRE DEPARTMENT , MINIBUS TRANSPORT WITH TRUCKS ! FS22",https://www.youtube.com/watch?v=J3mRQnHuVOQ,bo GAME,2022-12-03T06:24:29-08:00,False,False,1209,1209,1199
v_ZRwitlTiE,"TRANSPORTING CHEVROLET POLICE, JEEP & IVECO DAILY WITH ISUZU TRUCKS - Farming Simulator 22",https://www.youtube.com/watch?v=v_ZRwitlTiE,zNipp3r,2023-08-26T04:00:50-07:00,False,False,1210,1210,1200
4hRw6m-Lcqc,"GARAGE OF COLORS! MULTI STOREY GARAGE vs FIRE DEPARTMENT, AMBULANCE AND POLICE CARS!  FS22 - #124",https://www.youtube.com/watch?v=4hRw6m-Lcqc,gamemods,2023-05-12T23:05:00-07:00,False,False,1211,1211,1201
MwHHErfX9hI,Making Lego Car CLIMB Obstacles,https://www.youtube.com/watch?v=MwHHErfX9hI,Brick Experiment Channel,2021-01-02T07:17:51-08:00,False,False,1212,1212,1202
u6wC_4ah4fA,Building 10 MOVABLE Lego Bridges,https://www.youtube.com/watch?v=u6wC_4ah4fA,Brick Experiment Channel,2023-04-08T07:20:59-07:00,False,False,1213,1213,1203
tRc2XGEHiGo,Requested Lego Experiments 4,https://www.youtube.com/watch?v=tRc2XGEHiGo,Brick Experiment Channel,2022-02-12T06:40:13-08:00,False,False,1214,1214,1204
uirPtj6zGAw,100 Wheel Lego Vehicle,https://www.youtube.com/watch?v=uirPtj6zGAw,Brick Experiment Channel,2019-10-12T07:40:06-07:00,False,False,1215,1215,1205
trqAomdidrg,Lego MEGA Tank,https://www.youtube.com/watch?v=trqAomdidrg,Brick Experiment Channel,2023-07-15T07:22:33-07:00,False,False,1216,1216,1206
5Osk3cCK6G8,Making Lego Car CLIMB Slopes,https://www.youtube.com/watch?v=5Osk3cCK6G8,Brick Experiment Channel,2021-04-03T07:45:39-07:00,False,False,1217,1217,1207
G7Tou1MzmLI,Creating a BIG Vortex with Lego Motors,https://www.youtube.com/watch?v=G7Tou1MzmLI,Brick Experiment Channel,2020-09-05T07:50:55-07:00,False,False,1218,1218,1208
pcupjiD2xVk,Building 10 Motorized Lego Doors,https://www.youtube.com/watch?v=pcupjiD2xVk,Brick Experiment Channel,2023-08-19T07:43:57-07:00,False,False,1219,1219,1209
KLEH8RJsYgI,Building a Lego-powered Submarine 4.0 - automatic depth control,https://www.youtube.com/watch?v=KLEH8RJsYgI,Brick Experiment Channel,2022-07-16T06:53:33-07:00,False,False,1220,1220,1210
