video_id,video_url,video_title,channel_title,channel_id
nPvuNsRccVw,https://www.youtube.com/watch?v=nPvuNsRccVw,Bruno Mars - Treasure (Official Music Video),Bruno Mars,UCoUM-UJ7rirJYP8CQ0EIaHA
FrG4TEcSuRg,https://www.youtube.com/watch?v=FrG4TEcSuRg,PSY - DADDY(feat. CL of 2NE1) M/V,officialpsy,UCrDkAvwZum-UTjHmzDI2iIw
HBxt_v0WF6Y,https://www.youtube.com/watch?v=HBxt_v0WF6Y,Rihanna - Where Have You Been,RihannaVEVO,UC2xskkQVFEpLcGFnNSLQY0A
PWgvGjAhvIw,https://www.youtube.com/watch?v=PWgvGjAhvIw,Outkast - Hey Ya! (Official HD Video),OutkastVEVO,UC5VK325YvY3G1PGBuEfMNdg
J3UjJ4wKLkg,https://www.youtube.com/watch?v=J3UjJ4wKLkg,Rihanna - Take A Bow,RihannaVEVO,UC2xskkQVFEpLcGFnNSLQY0A
yd8jh9QYfEs,https://www.youtube.com/watch?v=yd8jh9QYfEs,Rihanna - Don't Stop The Music,RihannaVEVO,UC2xskkQVFEpLcGFnNSLQY0A
iGMjKS4Vap0,https://www.youtube.com/watch?v=iGMjKS4Vap0,NO LO HICE BIEN - Los Plebes del Rancho de Ariel Camacho (Video Oficial) | DEL Records,DEL Records,UChYwYTzrhfxPfJPFWRlYwUg
kn6-c223DUU,https://www.youtube.com/watch?v=kn6-c223DUU,B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],Atlantic Records,UCe4LM_eKc9ywRmVuBm5pjQg
DDWKuo3gXMQ,https://www.youtube.com/watch?v=DDWKuo3gXMQ,Adele - When We Were Young (Live at The Church Studios),AdeleVEVO,UComP_epzeKzvBX156r6pm1Q
_ovdm2yX4MA,https://www.youtube.com/watch?v=_ovdm2yX4MA,Avicii - Levels,AviciiOfficialVEVO,UC1SqP7_RfOC9Jf9L_GRHANg
iP6XpLQM2Cs,https://www.youtube.com/watch?v=iP6XpLQM2Cs,Ke$ha - TiK ToK (Official HD Video),keshaVEVO,UC9HnKwLco0wfmmHJT4KOjJw
ePpPVE-GGJw,https://www.youtube.com/watch?v=ePpPVE-GGJw,"TWICE ""TT"" M/V",JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg
prmmCg5bKxA,https://www.youtube.com/watch?v=prmmCg5bKxA,"Sean Kingston, Justin Bieber - Eenie Meenie (Official Video)",seankingstonVEVO,UCs3YiGrhC5ogCQyBJ25rUFw
cmSbXsFE3l8,https://www.youtube.com/watch?v=cmSbXsFE3l8,Anna Kendrick - Cups (Pitch Perfect’s “When I’m Gone”) (Director's Cut / Closed-Captioned),AnnaKendrickVEVO,UCgqabVNmn6dTr66Oy_LP_VA
nmjdaBaZe8Y,https://www.youtube.com/watch?v=nmjdaBaZe8Y,Chris Brown - With You (Official HD Video),ChrisBrownVEVO,UCm1dsgJNnhaLkY3uAdqN4mA
-2U0Ivkn2Ds,https://www.youtube.com/watch?v=-2U0Ivkn2Ds,"A Great Big World, Christina Aguilera - Say Something",AGreatBigWorldVEVO,UCMsBZYIksLc5pW_28PBQrCg
EWcOY14GWwM,https://www.youtube.com/watch?v=EWcOY14GWwM,Bumbum Granada - MCs Zaac e Jerry (KondZilla) | Official Music Video,Canal KondZilla,UCffDXn7ycAzwL2LDlbyWOTw
KV2ssT8lzj8,https://www.youtube.com/watch?v=KV2ssT8lzj8,Eminem - No Love (Explicit Version) ft. Lil Wayne,EminemVEVO,UC20vb-R_px4CguHzzBPhoyQ
QUBvVTNRp4Q,https://www.youtube.com/watch?v=QUBvVTNRp4Q,حسين الجسمي - بشرة خير (فيديو كليب) | Hussain Al Jassmi - Boshret Kheir | 2014,Hussain Al Jassmi | حسين الجسمي,UC3WI3Ut8Hvc6kzlLcG0IJHw
2ips2mM7Zqw,https://www.youtube.com/watch?v=2ips2mM7Zqw,BIGBANG - 뱅뱅뱅 (BANG BANG BANG) M/V,BIGBANG,UCzw-C7fNfs018R1FzIKnlaA
28iW_O5qWfU,https://www.youtube.com/watch?v=28iW_O5qWfU,Borboletinha - Galinha Pintadinha 2 - OFICIAL,Galinha Pintadinha,UCBAb_DK4GYZqZR9MFA7y2Xg
cwQgjq0mCdE,https://www.youtube.com/watch?v=cwQgjq0mCdE,Kanye West & Lil Pump - I Love It feat. Adele Givens [Official Music Video],Lil Pump,UC6pjHMC4QXMi4llCCjtDXWg
LOZuxwVk7TU,https://www.youtube.com/watch?v=LOZuxwVk7TU,Britney Spears - Toxic (Official HD Video),BritneySpearsVEVO,UCZijND2e2tPp2AQL8Go2YSg
UDApZhXTpH8,https://www.youtube.com/watch?v=UDApZhXTpH8,"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",50CentVEVO,UC0sL86jDLgs2fGRD-XBnPQA
Bg59q4puhmg,https://www.youtube.com/watch?v=Bg59q4puhmg,Avril Lavigne - Girlfriend (Official Video),AvrilLavigneVEVO,UCC6XuDtfec7DxZdUa7ClFBQ
nWAGLkyxQG0,https://www.youtube.com/watch?v=nWAGLkyxQG0,"Wiz Khalifa - Black And Yellow [G-Mix] ft. Snoop Dogg, Juicy J & T-Pain",Wiz Khalifa,UCVp3nfGRxmMadNDuVbJSk8A
